Company Name,Year,Months,Total income,Total liabilities,Total assets,Profit after tax,Total expenses,Indirect taxes,Rent & lease rent,Sales,Income from financial services,Other income
Pudumjee Plant Laboratories Ltd.,31-03-2021,12,0.1,327.8,327.8,-28.6,28.7,,0.2,,0.1,
Puja Corporation Pvt. Ltd.,31-03-2023,12,5.7,145.9,145.9,-2.3,8,0.2,,0.9,4.6,
Puja Vanijya Viniyog Ltd.,31-03-2023,12,148.7,239.4,239.4,145.5,3.2,,,,148.7,
Pujita Supplier Ltd.,31-03-2022,12,21.9,633.1,633.1,10.2,11.7,,,,21.9,
Pulin Comtrade Ltd.,31-03-2024,12,83.6,312.6,312.6,35.6,48,0.2,0.1,2.4,57.2,
Punarjani Securities Ltd.,31-03-2013,12,9.6,674.1,674.1,-11.7,21.3,,0.2,,0.8,8.8
Pune E-Stock Broking Ltd.,31-03-2024,12,745.4,2522.6,2522.6,115.7,629.7,0.6,0.8,0.6,725.3,
Pune Finvest Ltd.,31-03-2023,12,50.9,293,293,32.9,18,0.2,0.1,,31.5,
Pune-Dynasty Projects Pvt. Ltd.,31-03-2023,12,,19.2,19.2,-0.1,0.1,,,,,
Pune-Paud Toll Road Co. Ltd.,31-03-2017,12,1.4,18.1,18.1,-37.1,38.5,,,,1,
Punit Finstock Ltd.,31-03-2002,12,,0.5,0.5,,,,,,,
Punit Fintrade Pvt. Ltd.,31-03-2023,12,33.9,158.1,158.1,-12.3,46.4,0.4,,11.9,22,
Punj Lloyd Inds. Ltd.,31-03-2022,12,0.8,18.8,18.8,-1.3,2.1,,,,0.8,
Punj Lloyd Infrastructure Ltd.,31-03-2022,12,24,2429.9,2429.9,4.7,19.3,0.2,,,21.8,2.2
Punjab & Maharashtra Co-Op. Bank Ltd. [Merged],31-03-2021,12,3351.7,78259.1,78259.1,-4302.3,7654,,294.8,,3091.7,11.4
Punjab & Sind Bank,31-03-2024,12,115344.4,1477440,1477440,5954.2,109390.2,,1392.4,,102333.3,10471.9
Punjab Genco Ltd.,31-03-2020,12,153.9,1580.1,1580.1,22.1,131.8,,,66.1,87.2,0.6
Punjab Kashmir Finance Ltd.,31-03-2023,12,222.4,1305.2,1305.2,23.3,199.1,1.2,1.7,2.1,192.9,1
Punjab Lease Financing Ltd.,31-03-2023,12,6.4,81.8,81.8,4.7,1.7,0.1,,,6.4,
Punjab Mercantile & Traders Ltd.,31-03-2023,12,0.5,2426.5,2426.5,-47.2,47.7,0.2,,,0.2,0.3
Punjab National Bank,31-03-2024,12,1241867.5,15632230.2,15632230.2,82446.2,1159421.3,,13257.7,,1148123.8,79599.7
Punjab Produce Holdings Ltd.,31-03-2023,12,95,9368.1,9368.1,60.9,34.1,0.1,,,94.1,
Punjab Properties Ltd.,31-03-2022,12,0.3,5.8,5.8,0,0.3,,,,0.2,0.1
Punjab Reliable Invsts. Pvt. Ltd.,31-03-2023,12,34.2,383.4,383.4,9.3,24.9,0.1,,,33.9,0.1
Punjab State Indl. Devp. Corpn. Ltd.,31-03-1999,12,960,7802.1,7802.1,-203.5,1163.5,3.8,0.2,0.1,943.9,1.2
Punjab Transformers & Electronics Ltd.,31-03-2022,12,34.7,569.2,569.2,16.2,18.8,0.1,,1,33.5,0.2
Purak Infrastructure Services Pvt. Ltd.,31-03-2022,12,,0.4,0.4,-1,1,0.9,,,,
Purak Vinimay Ltd.,31-03-2009,12,,1.7,1.7,-0.1,0.1,,,,,
Purasawakam Santhatha Sanga Nidhi Ltd.,31-03-2011,12,52.7,428.2,428.2,0.1,52.6,0.1,,0.4,52,0.3
Purasawakum Permanent Fund Nidhi Ltd.,31-03-2023,12,144.2,1237.2,1237.2,4.2,140,1,0.8,,144.1,0.1
Purbanchal Trade & Inds. Ltd.,31-03-2023,12,2.9,566.8,566.8,0.1,2.8,,,,2.9,
Purbasha Resources Ltd.,31-03-2023,12,9.2,239.3,239.3,4.2,5,,0.2,,9.2,
Pure Health Products Pvt. Ltd.,31-03-2010,12,,16.6,16.6,-0.4,0.4,,,,,
Purnachandra Properties Pvt. Ltd.,31-03-2024,12,10,113.4,113.4,9.7,0.3,,,,,
Purnartha Investment Advisers Pvt. Ltd.,31-03-2023,12,758.4,679.8,679.8,176.2,582.2,0.6,38.2,433.3,323.4,0.7
Purple Entertainment Ltd.,31-03-2024,12,13.8,226.8,226.8,1.2,12.6,,0.2,,13.7,
Purple Finance Ltd.,31-03-2024,12,44.3,748.2,748.2,-76.1,120.4,2.8,0.5,0.9,43.3,
Purple Infotech Ltd.,31-03-2023,12,0.2,218,218,-9.5,9.7,,0.6,,0.2,
Purshottam Investofin Ltd.,31-03-2024,12,226.9,873.3,873.3,82.9,144,0.1,0.3,,226.6,0.2
Pururavas Consultancy Pvt. Ltd.,31-03-2022,12,0.1,2.6,2.6,0,0.1,,,,0.1,
Purva Capital Market Ltd.,31-03-2023,12,16.2,127.1,127.1,9.8,6.4,,0.1,,16.2,
Purva Realities Pvt. Ltd.,31-03-2023,12,5.3,1686.8,1686.8,-70.2,423.9,4.7,,,1.1,4.2
Purva Ruby Properties Pvt. Ltd.,31-03-2023,12,0.4,2461.1,2461.1,-2.2,389.3,2,,,0.4,
Purvanchal Business Promotions Ltd.,31-03-2023,12,1,31.8,31.8,0.3,0.7,0.1,,,1,
Purvanchal Investment & Trdg. Co. Pvt. Ltd.,31-03-2023,12,3.2,23.4,23.4,0.1,3.1,,,1.4,1.8,
Purvanchal Leasing Ltd.,31-03-2014,12,22.8,431.6,431.6,20,2.8,,,,22.8,
Purvi Finvest Ltd.,31-03-2010,12,5.4,332.5,332.5,-1,6.4,,,,5.4,
Purvi Securities Ltd.,31-03-2022,12,,1.5,1.5,-0.2,0.2,,,,,
Purvi Vanijya Niyojan Ltd.,31-03-2023,12,248.6,2261,2261,211.3,37.3,0.2,0.3,0.3,246.9,
Purvottar Financial Services Pvt. Ltd.,31-03-2023,12,16.4,253.4,253.4,1.2,15.2,,0.3,,14.7,
Pusam Rubber Products Pvt. Ltd.,31-03-2022,12,,67,67,-0.1,0.1,,,,,
Pushkar Banijya Ltd.,31-03-2023,12,30,457.1,457.1,13,17,0.1,,,25.8,
Pushkar Commercial Ltd.,31-03-2023,12,6,896.4,896.4,3.6,2.4,0.1,,,6,
Pushpak Healthcare Services Pvt. Ltd.,31-03-2022,12,0.3,63.5,63.5,0,0.3,,,,,0.3
Pushpanjali Credit Resources Pvt. Ltd.,31-03-2023,12,15.7,275.6,275.6,7,8.7,,0.1,,15.1,
Pushpanjli Finsolutions Ltd.,31-03-2023,12,12.7,153.6,153.6,9.3,3.4,0.1,,,10.9,
Pushpashree (India) Ltd.,31-03-2022,12,6.3,76.2,76.2,1.5,4.8,,,,6.3,
Pushpsri Fiscal Services Pvt. Ltd.,31-03-2023,12,4.5,478,478,0,4.5,,,,4.5,
Pyramid Finance Pvt. Ltd.,31-03-2023,12,36.9,410.2,410.2,17.9,19,0.7,1.2,2.9,31.8,
Pyramid Metallics Pvt. Ltd.,31-03-2023,12,,0.4,0.4,-0.1,0.1,,,,,
Pyretic Trading & Finance Co. Ltd.,31-03-2023,12,0.2,154.8,154.8,0,0.2,,,,0.2,
"Pyrites, Phosphates & Chemicals Ltd.",31-03-2006,12,46.6,426.8,426.8,-1139.1,1185.7,0.1,0.5,,1.7,0.4
Pyxis Finvest Ltd.,31-03-2024,12,23.6,359.7,359.7,15.6,8,,,,23.6,
Q G O Finance Ltd.,31-03-2024,12,142.5,964.2,964.2,26.5,116,,0.1,,139,1.9
Q R G Corporate Services Ltd.,31-03-2011,12,0.2,5.9,5.9,-0.5,0.7,,,,0.2,
Q R G Investments & Holdings Ltd.,31-03-2024,12,3886.2,21071.5,21071.5,2834.7,1051.5,,,,3885.5,0.4
Q X K P O Services Pvt. Ltd.,31-03-2022,12,1.2,10.2,10.2,0,1.2,,0.7,0.7,0.5,
Quadeye Securities Pvt. Ltd.,31-03-2023,12,77.3,572.8,572.8,57.7,19.6,,0.6,,41.1,36.2
Quadrangle Estates Pvt. Ltd.,31-03-2015,12,,29.4,29.4,,,,,,,
Quadrant Engineers Ltd.,31-03-2013,12,0.1,31.8,31.8,0,0.1,,,,0.1,
Quadrillion Finance Pvt. Ltd.,31-03-2023,12,7646,18374.9,18374.9,23.8,7622.2,200.3,42.7,,7633.9,0.2
Quality Capital Ltd.,31-03-2022,12,13.6,44.5,44.5,-0.1,13.7,,,,13.6,
Quality Minerals Ltd. [Merged],31-03-2014,12,2.3,26.1,26.1,1.5,0.8,,,,2.3,
Quality Steel Products Ltd.,31-03-2023,12,2.2,133,133,-4,6.2,,0.2,,2.1,
Quality Synthetics Inds. Ltd.,31-03-2024,12,369.8,782.3,782.3,1.6,368.2,,0.2,340.9,26,0.1
Quandong Investments Ltd. [Merged],31-03-1996,12,1.9,16.5,16.5,-0.4,2.3,,,,1.9,
Quant Broking Pvt. Ltd.,31-03-2023,12,0.5,128.3,128.3,-78.6,79.1,0.5,,,0.5,
Quant Capital Trustee Ltd.,31-03-2022,12,1.2,2.6,2.6,0.2,1,,,,1.2,
Quant Money Managers Ltd.,31-03-2023,12,582,1048.8,1048.8,261.4,320.6,0.5,12.7,,580.5,1.4
Quantum Asset Mgmt. Co. Pvt. Ltd.,31-03-2024,12,272.1,748.7,748.7,-108.9,381,3.6,7.1,,268.8,0.8
Quantum Global Securities Ltd.,31-03-2014,12,3.7,47.8,47.8,0.1,3.6,,0.2,,3.7,
Quantum Trustee Co. Pvt. Ltd.,31-03-2023,12,8.8,11.3,11.3,2.2,6.6,,,,8.8,
Quartz Finance Pvt. Ltd.,31-03-2010,12,,0,,,,,,,,
Quatrro Global Services Pvt. Ltd.,31-03-2023,12,129.8,775.1,775.1,9.3,120.5,13.2,1.1,,44.2,54.5
Quest Capital Markets Ltd.,31-03-2024,12,266.2,10357.9,10357.9,201.5,64.7,,0.6,,264.6,0.8
Quest Fin-Sec Markets Ltd.,31-03-2011,12,8.2,53.2,53.2,0.2,8,,,,7.2,1
Quest Financial Services Ltd.,31-03-2021,12,1.2,435.9,435.9,-0.2,1.4,,0.2,,1.2,
Quest Portfolio Services Pvt. Ltd.,31-03-2023,12,11.1,2702.3,2702.3,-249.8,260.9,0.7,0.2,,11.1,
Questar Investments Ltd. [Merged],31-03-2008,12,2.5,54.1,54.1,1.8,0.7,,,,2.5,
Quick Electronics & Engg. Co. Ltd.,31-03-2022,12,1.4,84,84,0.2,1.2,,,,0.1,1.3
Quick Forex Ltd.,31-03-2023,12,279,262.8,262.8,43.7,235.3,9.3,8.2,,261.7,17.3
Quick Investment (India) Ltd.,31-03-2023,12,69.4,384.4,384.4,52,17.4,,,,69.4,
Quick-Solution Properties Pvt. Ltd.,31-03-2023,12,0.4,14.6,14.6,0.3,0.1,,,,0.2,0.2
Quikjet Cargo Airlines Pvt. Ltd.,31-03-2008,12,1,397,397,-181.9,182.9,8.3,8.7,,1,
Quito Exim Pvt. Ltd.,31-03-2012,12,,4.1,4.1,,,,,,,
Quod Ispat Ltd.,31-03-2021,12,7.6,314.1,314.1,0.1,7.5,,,,7.6,
Qwikcilver Solutions Pvt. Ltd. [Merged],31-03-2022,12,3223.1,35308.3,35308.3,628.1,2595,0.4,19,1580.4,1639.3,3.4
R A S Associates Ltd.,31-03-2011,12,2.3,71.6,71.6,0.5,1.8,,0.1,,2.3,
R B C Motors India Ltd.,31-03-2007,12,7.7,426.4,426.4,-4,11.7,,,,6.2,
R B G Commodities Ltd.,31-03-2023,12,10.7,91.3,91.3,3.4,7.3,0.4,,,10.7,
R B K Share Broking Ltd.,31-03-2023,12,147.7,431.2,431.2,110.5,37.2,3.1,,,147,0.6
R B L Bank Ltd.,31-03-2024,12,154372,1384372.5,1384372.5,11679.2,142692.8,,2561.3,,154077.2,282.2
R B L Finserve Ltd.,31-03-2023,12,4557.9,1208.3,1208.3,368.2,4189.7,23.7,238.6,,4509.8,3.7
R B M Industries Ltd.,31-03-2014,12,0.3,3,3,0,0.3,,0.1,,0.3,
R B Media Holdings Pvt. Ltd.,31-03-2024,12,1.4,3837.9,3837.9,0.8,0.6,,,0.7,0.7,
R B S Equities (India) Pvt. Ltd.,31-03-2017,12,76.9,848.9,848.9,2.5,74.4,,3.5,,66.3,
R B S Prime Services (India) Pvt. Ltd.,31-03-2023,12,8.7,243,243,1.3,7.4,0.5,0.2,,8.7,
R C A Ltd.,31-03-2023,12,10.9,854.2,854.2,5.3,5.6,,,,10.9,
R C C (Sales) Pvt. Ltd.,31-03-2023,12,0.1,273.9,273.9,-0.1,0.2,,,,0.1,
R C G Instruments (India) Pvt. Ltd.,31-03-2022,12,,2.9,2.9,-0.1,0.1,,,,,
R C L Cements Ltd.,31-03-2023,12,35.6,359.6,359.6,34.2,1.4,0.3,,0.1,0.7,
R C L Foods Ltd.,31-03-2023,12,0.2,22.1,22.1,-0.5,0.7,,,,0.2,
R C S Financial Technology Ltd.,31-03-2012,12,0.9,36.4,36.4,0,0.9,,0.2,0.6,0.3,
R C S Parivar Finance Ltd.,31-03-2010,12,0.4,11.8,11.8,0,0.4,,,0.1,0.2,0.1
R D Estates & Resources Ltd.,31-03-2023,12,6.7,193.6,193.6,3.4,3.3,,,0.4,6.3,
R E C Ltd.,31-03-2024,12,485860.6,5604078.9,5604078.9,140192.1,345668.5,,55.7,301.8,471511.4,146.6
R E Sustainability Indl. Solutions Pvt. Ltd.,31-03-2009,12,0.8,52.5,52.5,-5.7,6.5,,0.2,,0.8,
R F L Infrastructures Pvt. Ltd.,31-03-2007,12,1.3,130.4,130.4,0.6,0.7,,,0.3,1,
R F L International Ltd.,31-03-2018,12,0.7,24.5,24.5,0,0.7,,0.1,,0.7,
R G A M Capital India Ltd. [Merged],31-03-2017,12,2.9,25.8,25.8,1.9,1,,,,2.9,
R G A M Invst. Advisers Pvt. Ltd. [Merged],31-03-2017,12,2632.3,9921.7,9921.7,692.5,1939.8,0.1,0.1,,2313.4,0.5
R G F Capital Markets Ltd.,31-03-2024,12,3.1,150.2,150.2,0,3.1,,,,3.1,
R G Ispat Ltd.,31-03-2012,12,0.9,18.6,18.6,0.7,0.2,,,,0.9,
R G T L Inds. Ltd.,31-03-2021,12,7.3,1127.6,1127.6,-49.1,56.4,0.2,,,0.5,6.8
R G V N (North East) Microfinance Ltd.,31-03-2023,12,8.5,3081.2,3081.2,-1.7,10.2,,0.2,,8.4,0.1
R H C Finance Pvt. Ltd.,31-03-2020,12,26.4,4422.5,4422.5,-10.8,37.2,0.2,0.5,,0.1,
R H C Holding Pvt. Ltd.,31-03-2016,12,6428.7,116331.7,116331.7,409.1,6019.6,,22.1,25.9,6380.6,18.9
R H F L Developers Ltd.,31-03-2010,12,,58.6,58.6,-0.3,0.3,,,,,
R I L Investments Ltd.,31-03-2000,15,1.3,103,103,-41.3,42.6,,,,1.3,
R J M Investments Ltd.,31-03-2003,12,,10.9,10.9,,,,,,,
R J Shah & Co. Ltd.,31-03-2024,12,53.6,415.5,415.5,37.4,26.1,,1.6,,17.2,0.9
R K B Securities Ltd.,31-03-2023,12,7.8,435.2,435.2,-42.8,50.6,,0.1,,7.2,
R K Commercial Ltd.,31-03-2023,12,5.8,341.2,341.2,2.1,3.7,,0.7,,5.8,
R K Commodities Services Pvt. Ltd.,31-03-2022,12,4.3,34.7,34.7,2,2.3,,,,4.3,
R K D Financial Services Ltd.,31-03-2023,12,15.6,146.5,146.5,0.3,15.3,0.1,0.5,0.1,15.2,
R K D K Capital Market Ltd.,31-03-2022,12,2.4,75.7,75.7,1,1.4,,,,2.4,
R K Finance Ltd.,31-03-2022,12,9.3,162.2,162.2,4.9,4.4,,0.1,,8.8,
R K G Finvest Ltd.,31-03-2023,12,0.3,3616.5,3616.5,-0.2,0.5,,,0.1,0.2,
R K Global Shares & Securities Ltd.,31-03-2021,12,200,1169.8,1169.8,10,190,,5.2,,196.7,2
R K N Retail Pvt. Ltd. [Merged],31-03-2020,12,466.9,100.5,100.5,164.6,302.3,,,,31.8,435.1
R K R C Hotels & Resorts Ltd.,31-03-2011,12,0.1,115.6,115.6,-1.1,1.2,1,,,0.1,
R K S Properties Ltd.,31-03-2011,12,11.8,49.3,49.3,8.8,3,0.4,,4.4,6.9,
R K S V Securities India Pvt. Ltd.,31-03-2023,12,10454.7,33017,33017,-876.1,11330.8,,15.6,,10420.7,30
R K Wind Ltd.,31-03-2012,12,1.5,1060,1060,-1.8,3.3,,,,0.3,
R L G Industries Ltd. (1984),31-03-2022,12,5.8,73,73,3.9,1.9,,,,4,1.8
R M B Financial Services Ltd.,31-03-2023,12,2.6,52.6,52.6,0.8,1.8,,,,2.6,
R M Bhuther & Co. Ltd.,31-03-2013,12,,328,328,0,13,,6.6,,,
R M D Weaving Mills Pvt. Ltd.,31-03-2023,12,16.9,201.3,201.3,8.6,8.3,0.1,,,16.9,
R M Debt Nirvana Consulting Pvt. Ltd.,31-03-2022,12,28.8,46.5,46.5,5.3,23.5,4.2,0.2,4.2,24.6,
R M Z One Paramount Pvt. Ltd.,31-03-2024,12,30.7,6626.6,6626.6,11.6,19.1,0.4,,,30.1,
R N A Capital Markets Ltd.,31-03-2023,12,10.7,289.1,289.1,2.7,8,0.3,,,10.7,
R N B Inds. Ltd.,31-03-2015,12,3.1,81.8,81.8,-23,26.1,,2.3,,3.1,
R N T Investments Ltd. [Merged],31-03-2012,12,0.5,6.4,6.4,0.2,0.3,,,,0.5,
R O F Infratech & Housing Pvt. Ltd.,31-03-2023,12,1,1419.4,1419.4,-0.1,1.1,,,1,,
R P Adwait Steels Ltd.,31-03-2022,12,1.1,13.5,13.5,0,1.1,,,,0.2,
R P Basmati Rice Ltd.,31-03-2023,12,0.2,136.5,136.5,-33.1,33.3,,,,0.2,
R P Edible Oils Pvt. Ltd.,31-03-2023,12,1.7,424.4,424.4,-14.9,16.6,2.1,,,1.7,
R P G Communications Holdings Pvt. Ltd. [Merged],31-03-2008,12,0.6,507.4,507.4,-2.4,3,,,,0.6,
R P G Credit & Capital Ltd.,31-03-2023,12,30.5,405.5,405.5,-2.4,32.9,0.1,,,29.8,
R P G Global Music Ltd.,31-03-2023,12,,0.3,0.3,,,,,,,
R P G Infrastructure Invst. Pvt. Ltd. [Merged],31-03-2019,12,1.9,94.8,94.8,1.5,0.4,,,0.9,1,
R P G Properties Pvt. Ltd.,31-03-2012,12,1.1,29.7,29.7,0.7,0.4,,,,1.1,
R P I L Signalling Systems Ltd.,31-03-2023,12,,823.4,823.4,-10.7,10.7,,,,,
R P L Solar Power Pvt. Ltd.,31-03-2023,12,,2280.5,2280.5,-500.5,500.5,,,,,
R P L Star Power Pvt. Ltd.,31-03-2023,12,,2202.3,2202.3,-550.5,550.5,,,,,
R P L Sunlight Power Pvt. Ltd.,31-03-2023,12,27.5,1999.5,1999.5,-408.6,436.1,,,,27.5,
R P Trade Pvt. Ltd.,31-03-2022,12,0.2,7.5,7.5,0,0.2,,,,0.2,
R R B Investments Pvt. Ltd. [Merged],31-03-2018,12,2.3,287.9,287.9,2.1,0.2,,,,2,
R R B Master Holdings Ltd. [Merged],31-03-2013,12,0.1,11.1,11.1,-8.1,8.2,,,,0.1,
R R B Master Securities Delhi Ltd.,31-03-2022,12,17,97.4,97.4,3.9,13.1,,1,,15.6,1.4
R R B Securities Ltd.,31-03-2023,12,1.4,207.1,207.1,-16.8,18.2,,,,1.4,
R R Chokhani Stock Brokers Pvt. Ltd.,31-03-2023,12,68.4,1022.4,1022.4,37.4,31,,,,68.4,
R R Corporate Securities Ltd.,31-03-2019,12,0.1,12.7,12.7,-0.4,0.5,0.1,,,0.1,
R R Equity Brokers Pvt. Ltd.,31-03-2023,12,30.2,133.7,133.7,0.2,30,,,,30.2,
R R Financial Consultants Ltd.,31-03-2024,12,10.5,497.2,497.2,0.2,10.3,,,,10.5,
R R Fincap Pvt. Ltd.,31-03-2023,12,0.5,24.5,24.5,0,0.5,,,,0.5,
R R I L Ltd.,31-03-2024,12,32.3,784.9,784.9,11.9,34.8,,,,31.3,0.7
R R I T Solutions Pvt. Ltd.,31-03-2023,12,,0.2,0.2,,,,,,,
R R Insurance Brokers Pvt. Ltd.,31-03-2022,12,30.5,43.8,43.8,1.8,28.7,,,,30.5,
R R Investor Securities Trdg. Pvt. Ltd.,31-03-2009,12,0.8,0.8,0.8,0.1,0.7,,0.1,,0.8,
R R Investors Capital Services Pvt. Ltd.,31-03-2023,12,99.1,176.6,176.6,2.8,96.3,,,,98.9,0.2
R R J Infra Inds. Pvt. Ltd.,31-03-2023,12,31.2,1096.8,1096.8,3.9,27.3,0.2,4.9,,31.1,
R R K Finhold Pvt. Ltd. [Merged],31-03-2018,12,0.1,1,1,0,0.1,,,,0.1,
R R M Shares & Securities Ltd.,31-03-2023,12,47.1,945.1,945.1,-10.4,57.5,,,,46.2,0.5
R R S Shares & Stock Brokers Pvt. Ltd.,31-03-2023,12,41.8,263.9,263.9,0.6,41.2,,1.7,,41.8,
R R Securities Ltd.,31-03-2024,12,1.6,47.5,47.5,1,0.6,0.1,,,1.6,
R R Sen & Bros Pvt. Ltd.,31-03-2023,12,279.6,392.5,392.5,32.2,247.4,1.4,8.8,,198.4,81.2
R S A Actuarial Services (India) Pvt. Ltd.,31-03-2023,12,478.8,461.5,461.5,48.1,430.7,0.1,17.9,459.6,19.2,
R S B Credit Capital Ltd.,31-03-1996,12,0.1,3.4,3.4,-0.2,0.3,,,,0.1,
R S Co-Operative Bank Ltd.,31-03-2009,12,65.5,572.9,572.9,2.5,63,,4.7,,61,4.4
R S D Finance Ltd.,31-03-2023,12,87.6,685.1,685.1,50.3,37.3,0.2,0.2,10.4,75.1,1.3
R S Global Infotech Ltd.,31-03-2012,12,0.9,16.1,16.1,0.4,0.5,,,,0.9,
R S I L Holdings Pvt. Ltd.,31-03-2022,12,,20.5,20.5,-0.1,0.1,,,,,
R S India Global Energy Ltd.,31-03-2012,12,0.1,479.3,479.3,-5,5.1,0.1,,,0.1,
R S N Financial Services Ltd.,31-03-2023,12,,91.3,91.3,-0.1,0.1,,,,,
R S P Consulting Engineers (India) Pvt. Ltd.,31-03-2016,12,0.3,114.7,114.7,0.2,0.1,,,,0.3,
R S R Financial Service Ltd.,31-03-2010,12,,0.3,0.3,-0.1,0.1,,,,,
R Sharp & Son (Shipping) Pvt. Ltd.,31-03-2010,12,,0.9,0.9,-0.1,0.1,,0.1,,,
R T L Logistics Ltd.,31-03-2022,12,0.1,6.3,6.3,-18,18.1,0.1,,,0.1,
R T M Invst. & Trdg. Co. Ltd.,31-03-2023,12,43,2370.9,2370.9,34.7,8.3,,,,43,
R V Investment & Dealers Ltd.,31-03-2023,12,49,942.3,942.3,21.6,27.4,0.9,0.1,5.8,39.5,
R V S Management Ltd.,31-03-2023,12,2.2,200.5,200.5,0.1,2.1,,,,1.6,0.6
R V T Finhold Pvt. Ltd. [Merged],31-03-2018,12,,284.9,284.9,-0.1,0.1,,,,,
R V T Investments Pvt. Ltd. [Merged],31-03-2010,12,111.7,3906.5,3906.5,4.1,107.6,,0.1,,111.7,
R V T Media Pvt. Ltd. [Merged],31-03-2018,12,,1059.7,1059.7,-0.3,0.3,,,,,
R V T Softech Pvt. Ltd.,31-03-2022,12,,38.5,38.5,-0.1,0.1,,,,,
R Wadiwala Securities Pvt. Ltd.,31-03-2023,12,258.4,1288.4,1288.4,99.4,159,0.2,5,,211.2,47.2
Ra'Pure Life Sciences Ltd.,31-03-2019,12,0.6,153,153,-17.1,15.7,,,,0.1,0.5
Raaj Khosla & Co. Pvt. Ltd.,31-03-2023,12,5222.5,1512.4,1512.4,45.6,5176.9,5.5,143.1,,5212,
Raas Consulting Pvt. Ltd.,31-03-2024,12,1.7,67.9,67.9,-2.4,4.1,,,1.7,,
Raasi Leasing Ltd.,31-03-2022,12,,0.2,0.2,,,,,,,
Raasula Securities Ltd.,31-03-2023,12,,327.2,327.2,-0.1,0.1,,,,,
Rabo India Finance Ltd.,31-03-2016,12,718.9,6411.2,6411.2,230.5,488.4,12.6,18.6,,641.4,5.6
Rabo Shared Services Pvt. Ltd.,31-03-2023,12,31.2,548.8,548.8,-31.2,62.4,,0.9,2.3,21.4,
Race Course Services Pvt. Ltd.,31-03-2003,12,,0,,,,,,,,
Raconteur Global Resources Ltd.,31-03-2024,12,17.2,163.3,163.3,11.1,6.1,0.1,,,,17.1
Radar Securities Ltd.,31-03-2015,12,1.9,58.8,58.8,0.2,1.7,,,,1.6,0.3
Radha Vallabh Leasing Ltd.,31-03-2011,12,,3,3,,,,,,,
Radhagobind Commercial Ltd.,31-03-2024,12,0.8,1.4,1.4,-75.1,75.9,2,0.2,,0.1,
Radhashree Finance Ltd.,31-03-2022,12,2.1,46.1,46.1,0.7,1.4,,,,1.1,
Radhe Finance (India) Pvt. Ltd.,31-03-2013,12,,0,,,,,,,,
Radhe Krishna Chemicals & Minerals Pvt. Ltd.,31-03-2010,12,0.1,85,85,0,0.1,,,,0.1,
Radheshyam Plantation L L P,31-03-2009,12,0.3,10.2,10.2,0.1,0.2,,,,0.3,
Radhika Heights Ltd.,31-03-2023,12,61.4,2212.6,2212.6,5.9,55.5,0.1,11.9,20.1,29.1,2.6
Radhika Industrial Investments Ltd.,31-03-2023,12,2.2,22.1,22.1,0.8,1.4,,,0.9,1.1,
Radhika Traders & Investors Ltd.,31-03-2012,12,0.8,12.9,12.9,0.1,0.7,,,,0.8,
Radial Finance Ltd. [Merged],30-09-2006,12,0.6,218.4,218.4,-74.4,75,,,,0.6,
Radiance Finvest Pvt. Ltd.,31-03-2021,12,,66.5,66.5,,,,,,,
Radiant Financial Services Ltd.,31-03-2022,12,4.6,150.8,150.8,1.3,3.3,,0.1,,4.6,
Radiant Trafin Pvt. Ltd.,31-03-2023,12,293.1,4153.5,4153.5,6.4,286.7,,,,288.7,
Radico Khaitan Finance Ltd.,31-03-2024,12,44.2,238.2,238.2,7.7,36.5,,,3.4,40.8,
Radio Components & Transistors Co. Ltd. [Merged],31-03-2010,12,0.4,14.1,14.1,0.2,0.2,,,0.4,,
Rado Tyres Ltd.,31-03-2023,12,2.4,60.1,60.1,0.8,1.6,0.1,0.1,,2.4,
Raga Finvest Ltd.,31-03-2012,12,14,147.4,147.4,-7.7,21.7,0.1,,0.6,12.8,0.1
Raghav Buildwell Ltd.,31-03-2023,12,52.4,363.3,363.3,27.8,24.6,0.7,,25.8,25.8,0.8
Raghunath Holdings & Finlease Pvt. Ltd.,31-03-2023,12,75.8,1066.8,1066.8,14.9,60.9,,,,58.2,
Raghunath International Ltd.,31-03-2024,12,8.3,102.4,102.4,1.5,6.8,0.6,0.1,3,5.3,
Raghuvanshi Co-Op. Bank Ltd.,31-03-1999,12,54.8,425.7,425.7,4.6,50.2,,2.9,,53.6,1.2
Raghuvesh Foods & Infrastructure Ltd.,31-03-2016,12,,0.5,0.5,,,,,,,
Raghuvesh Power Projects Ltd.,31-03-2016,12,,0.4,0.4,,,,,,,
Raghvar Exports Ltd.,31-03-2011,12,1.5,13.5,13.5,0.2,1.3,,0.1,,1.5,
Raghvendra Ispat Pvt. Ltd.,31-03-2011,12,,32.7,32.7,,,,,,,
Ragini Finance Pvt. Ltd.,31-03-2022,12,347.7,49677.2,49677.2,267.4,80.3,0.6,2.5,,342.7,
Ragini Trading & Invsts. Ltd. [Merged],31-03-2010,12,8386.3,3508.2,3508.2,-44.2,8430.5,,,8386.3,,
Raglan Infrastructure Pvt. Ltd.,31-03-2023,12,3.3,444.2,444.2,0.8,2.5,,,,3,0.3
Raha Poly Products Ltd.,31-03-2023,12,11.4,3.1,3.1,6.4,5,,0.2,,0.1,
Raheja Buildtech Ltd.,31-03-2021,12,0.1,6.2,6.2,-3.6,3.7,,,,0.1,
Rahil Investments & Finance Ltd.,31-03-2003,12,,40.9,40.9,-0.4,0.4,,,,,
